programme_name,priority_stage,recommended_order,consensus_confidence,source_archetype,methodology_source_url,registry_url,document_library_url,records_expected,fields_visible,js_required,api_visible,extractor_type,dedupe_key,pdf_strategy,implementation_note,known_disagreement,next_action
Climate Forward,Stage 1,1,High,Static HTML table/list + detail pages + PDFs,https://climateforward.org/program/methodologies/,https://climateforward.apx.com/ (reported) / CAR-related registry context,https://climateforward.org/program/program-manuals-and-project-forms/,7 forecast methodologies,"title, version, date issued, status/development status, detail URL, PDF URL via detail page",No,No public methodology API reported,requests + BeautifulSoup static table/list parser with detail-page follow,detail-page slug or title + version,Capture PDF URL from detail page; parse PDF later only for deep fields,Best first connector if optimizing for reusable baseline table/list parsing.,Low. Reports broadly agree it is easy/static.,"Implement or run a 10-minute verification fetch, then implement."
American Carbon Registry (ACR),Stage 1,2,High,Static HTML tables + status tabs + detail pages + PDFs,https://acrcarbon.org/methodologies/approved-methodologies/,https://greentrace.ice.com/acr / https://acrcarbon.org/acr-registry/ (reported),https://acrcarbon.org/acr-program/acr-standard/,~13 active / ~20-25+ including broader status pages (report estimates vary),"sector/scope, title, version, status via tab, detail URL, PDF URL via detail page",No,No public methodology API; possible WordPress REST lead only,requests + BeautifulSoup table parser; follow detail pages for current PDF,detail-page slug or title + version,Capture current approved PDF URL; avoid deprecated archive PDFs unless flagged,High-value connector; more complex than Climate Forward due to version archives/status pages.,Low on feasibility; reports differ only on whether it should be first or second.,"Implement after Climate Forward, or first if prioritizing business value."
Cercarbono,Stage 1 after verification,3,Medium-Low,Potential static methodology cards + PDF links + adopted CDM methods; or scattered PDFs depending on report,https://cercarbono.com/methodologies/,https://registry.cercarbono.com/ / https://ecoregistry.io/projects-list/cercarbono-co2 (reported),https://cercarbono.com/documents/,~8 to 15+ if methodology page is live; otherwise only known PDFs,"code, title, programme/sector, PDF URL, version/date from PDF filename or PDF","No, according to Gemini/Claude; disputed by ChatGPT report due missing public list",No public methodology API verified; possible WordPress REST lead,Verify first. If page exists: static card parser + filename regex. If not: manual/PDF-source-resolution connector.,methodology code,Use href filename regex for date/version where present; parse PDF later for confirmation,"Potentially high value and actively updated, but reports conflict on whether the public list exists.",High. ChatGPT says no stable public consolidated list; Gemini/Claude say static cards exist.,Run source_verification.csv check before coding.
Social Carbon,Stage 2,4,High,Static HTML index + per-method detail pages + PDFs/modules/tools,https://socialcarbon.org/methodologies,https://socialcarbon.org / registry.socialcarbon.org (reported),https://socialcarbon.org/documentation,~10-12 methodologies,"SCM code, title, description, status, sector, modules/tools, version history, detail URL, PDF URL",No,Possible Squarespace JSON lead; not needed initially,requests + BeautifulSoup index parser + detail-page crawler,SCM code + version date,Capture PDF anchors from detail pages; parse PDFs later for deep fields,Good next connector after first table/card parsers; adds modules/tools and version history.,Low. Reports agree it is buildable and useful.,Implement after Climate Forward/ACR/Cercarbono baseline patterns.
Plan Vivo,Stage 2 after verification,5,Medium,Approved-methodology cards + S3 PDFs + modules/tools; or broader unstructured technical library depending on report,https://www.planvivo.org/projects/certify-a-project/pvclimate/methodologies/approved-methodologies,https://www.planvivo.org/buy-credits/pv-climate-registry / Markit (reported),,2 approved full methodologies plus modules/tools,"PM001/PM002 code, title, version, status, type, active-from date, developer, reviewer, PDF URL",No,No public API observed,If approved-methodologies page is live: static card parser. If using technical library: PDF classifier.,PM code,Capture S3-hosted PDF; parse later for effective dates/developer confirmation,"Reports conflict because they target different Plan Vivo pages. Approved-methodologies page appears easiest. Technical-library URL removed 2026-07-06 because it returns 404.",High. ChatGPT/Claude find clear approved methods; Gemini treats it as scattered PDF library.,Verify approved-methodologies URL and card structure before coding.
Puro Earth,Stage 2 / Stage 3 depending verification,6,Medium,"Methodology cards/detail pages + HubSpot PDFs, or dynamic document library depending report",https://puro.earth/cdr-infrastructure/methodologies/,https://registry.puro.earth/,https://puro.earth/cdr-infrastructure/methodologies/document-library/,~8-10 methodology categories/documents,"title/category, durability tier, edition/version, detail URL, PDF URL, status",Disputed: ChatGPT/Gemini say JS/dynamic for document library; Claude says methodology cards are static,Puro Connect/API reported but not verified; do not rely yet,Verify. If static cards: requests + BS4 card parser + detail follow. If dynamic library: Playwright/XHR intercept.,slug + edition/version,Capture HubSpot PDF hrefs; parse PDF for edition/version if not visible in HTML,"Potentially high signal for engineered CDR, but should not be coded until static vs dynamic pathway is verified.",Medium-High. Reports differ on whether JS is required.,Run verification fetch on methodology landing page and document library.
BioCarbon Registry (BCR),Stage 3,7,Medium,Sector landing pages + PDF/document library; PDF-first metadata,https://biocarbonstandard.com/en/methodologies/,https://globalcarbontrace.io/,https://biocarbonregistry.com/en/documents/ / https://biocarbonstandard.com/en/tools/ (reported),~15+ / codes BCR000x,"sector, title, PDF URL in HTML; code/version/effective date may live inside PDFs",No for methodology pages; registry is separate JS SPA,No public methodology API observed; possible WordPress REST lead,static link harvester + PDF metadata parser,"BCR code, fallback PDF filename/hash",Parse first pages for BCR code/version/date; handle ES/EN duplicates and non-uniform layouts,Useful but should come after HTML-only connectors because authoritative metadata may be PDF-first.,Medium. Reports differ on whether HTML has full codes/versions or PDFs do.,Defer until PDF parsing strategy is added.
ART/TREES,Stage 3 / source-resolution,8,High,"Single standard/document-family/version-lineage, not methodology catalogue",https://www.artredd.org/standards/trees-3-0/,https://www.artredd.org/art-registry/,https://www.artredd.org/verification/,"TREES standards/templates/version lineage, not many methodologies","document title, version, language, PDF URL, standard status",Possibly for some resource lists; core PDF/static pages likely accessible,No public methodology API observed; possible WP REST lead,"source-resolution/document-family connector, not normal MethodUnit extractor",title + version,Capture standard PDFs and templates; parse version/date,Valuable as a semantic edge case: 'methodology' equals programme standard.,Low. Reports agree it is not a normal catalogue.,Implement later as document-family/version-lineage record.
Isometric,Stage 3 / access/API,9,Medium,JS-heavy protocol registry + possible static per-protocol pages + authenticated registry API,https://registry.isometric.com/protocols,https://registry.isometric.com/,https://docs.isometric.com/ (API docs reported),9-14 protocols plus ~25 modules/pathways depending report,"title, slug, version, pathway, status, references/changelog on protocol pages if accessible",Yes for protocol index enumeration; individual pages may be statically fetchable once slugs are known,"Authenticated registry API reported/verified by Claude for projects/credits, not public methodology catalogue",hybrid: Playwright/sitemap slug enumeration + static per-protocol fetch; optional authenticated API if credentials exist,slug + version,Mostly web-native HTML protocols rather than PDFs,High value but not first; likely requires JS or authenticated API strategy.,Medium. ChatGPT says currently inaccessible; Claude says per-protocol pages/API leads exist.,Defer; do not bypass login. Verify sitemap/per-protocol static access later.
Credible Carbon,Deprioritize / verify,10,Low,Disputed: static methodology list with four PDFs OR no proprietary methodology library/project-derived adopted methods,https://www.crediblecarbon.com/methodologies/,https://crediblecarbon.com/project-registry/ / credible-platform.agroapps.gr (reported),Not clear,4 if methodology page valid; 0 proprietary if Claude is correct,If methodology page valid: code/title/description/PDF. If not: project methodology narratives only.,No for public pages,No public API observed,Verify before coding. Could be methodology list parser or project/credit intelligence connector.,code if methodology list exists; project ID if project-derived,Capture direct PDFs if methodology list exists; otherwise parse project audit/PIN PDFs for method references,Do not prioritize as methodology connector until verified.,Very high. ChatGPT/Gemini treat as four methodologies; Claude says no proprietary methodologies.,Verify whether /methodologies/ exists and contains proprietary methodology records.
